"Code","Year","Entity","Fossil.fuels..TWh.growth...sub.method.","Coal..TWh.growth...sub.method.","Gas..TWh.growth...sub.method.","Oil..TWh.growth...sub.method.","region","sub.region"
"ECU",1986,"Ecuador",0.77,0,-0.012,0.782,"Americas","Latin America and the Caribbean"
"ECU",1974,"Ecuador",2.844,0,0.582,2.262,"Americas","Latin America and the Caribbean"
"ECU",2019,"Ecuador",-5.096,0,-0.752,-4.344,"Americas","Latin America and the Caribbean"
"ECU",2015,"Ecuador",-4.975,0,-0.515,-4.46,"Americas","Latin America and the Caribbean"
"ECU",2016,"Ecuador",-7.997,0,0.653,-8.649,"Americas","Latin America and the Caribbean"
"EGY",1979,"Egypt",16.682,0.783,3.658,12.241,"Africa","Northern Africa"
"EGY",1995,"Egypt",23.221,-3.993,5.775,21.439,"Africa","Northern Africa"
"EGY",1992,"Egypt",-0.2,0.221,7.123,-7.544,"Africa","Northern Africa"
"EGY",1997,"Egypt",18.379,-1.705,3.85,16.234,"Africa","Northern Africa"
"EGY",1973,"Egypt",-5.691,-0.476,-0.135,-5.08,"Africa","Northern Africa"
"EGY",2000,"Egypt",29.817,1.712,34.65,-6.545,"Africa","Northern Africa"
"EGY",2010,"Egypt",46.207,-1.801,24.736,23.272,"Africa","Northern Africa"
"EGY",1994,"Egypt",6.03,0.855,6.834,-1.659,"Africa","Northern Africa"
"EGY",1968,"Egypt",3.475,0.198,0,3.277,"Africa","Northern Africa"
"EGY",1971,"Egypt",1.5,-0.912,0,2.412,"Africa","Northern Africa"
"EGY",1982,"Egypt",27.08,0.275,2.214,24.591,"Africa","Northern Africa"
"EGY",2001,"Egypt",29.524,-1.217,43.313,-12.572,"Africa","Northern Africa"
"EGY",1998,"Egypt",18.821,-0.152,2.888,16.086,"Africa","Northern Africa"
"EGY",1999,"Egypt",31.499,-0.841,25.988,6.352,"Africa","Northern Africa"
"EGY",1993,"Egypt",3.415,1.904,14.149,-12.638,"Africa","Northern Africa"
"EGY",2008,"Egypt",48.44,-0.901,23.87,25.471,"Africa","Northern Africa"
"EGY",1985,"Egypt",13.162,0.458,8.759,3.945,"Africa","Northern Africa"
"EGY",1991,"Egypt",5.21,0.258,9.721,-4.769,"Africa","Northern Africa"
"EGY",2006,"Egypt",34.487,0.006,47.163,-12.681,"Africa","Northern Africa"
"EGY",1990,"Egypt",11.39,-1.476,3.176,9.69,"Africa","Northern Africa"
"EGY",1984,"Egypt",26.041,0.114,8.566,17.362,"Africa","Northern Africa"
"EGY",2002,"Egypt",10.414,0.647,19.25,-9.483,"Africa","Northern Africa"
"EGY",2005,"Egypt",33.87,-0.218,-0.963,35.051,"Africa","Northern Africa"
"EGY",1978,"Egypt",6.708,-0.314,2.695,4.328,"Africa","Northern Africa"
"EGY",2004,"Egypt",29.914,0.218,19.25,10.446,"Africa","Northern Africa"
"EGY",1976,"Egypt",20.594,-0.147,3.176,17.564,"Africa","Northern Africa"
"EGY",1975,"Egypt",10.113,1.095,-0.096,9.114,"Africa","Northern Africa"
"EGY",1989,"Egypt",18.555,0.236,7.893,10.426,"Africa","Northern Africa"
"EGY",2003,"Egypt",39.415,0.352,30.8,8.263,"Africa","Northern Africa"
"EGY",1967,"Egypt",-14.296,1.721,0,-16.017,"Africa","Northern Africa"
"EGY",1988,"Egypt",11.021,0.858,6.16,4.003,"Africa","Northern Africa"
"EGY",1987,"Egypt",15.913,0.504,5.775,9.634,"Africa","Northern Africa"
"EGY",1981,"Egypt",27.861,1.849,2.503,23.509,"Africa","Northern Africa"
"EGY",1972,"Egypt",9.96,-0.48,-0.135,10.575,"Africa","Northern Africa"
"EGY",2007,"Egypt",39.773,-0.9,17.903,22.771,"Africa","Northern Africa"
"EGY",1970,"Egypt",15.992,-0.43,0.135,16.287,"Africa","Northern Africa"
"EGY",2012,"Egypt",47.097,-0.585,28.779,18.903,"Africa","Northern Africa"
"EGY",2013,"Egypt",-6.782,-0.055,-11.358,4.63,"Africa","Northern Africa"
"EGY",1996,"Egypt",22.601,3.023,3.85,15.728,"Africa","Northern Africa"
"EGY",2009,"Egypt",36.461,-0.9,16.363,20.999,"Africa","Northern Africa"
"EGY",1977,"Egypt",9.486,0.922,0.77,7.794,"Africa","Northern Africa"
"EGY",1974,"Egypt",10.754,2.398,0.029,8.327,"Africa","Northern Africa"
"EGY",2014,"Egypt",-2.067,0.037,-32.826,30.722,"Africa","Northern Africa"
"EGY",1983,"Egypt",24.621,-0.439,4.428,20.632,"Africa","Northern Africa"
"EGY",1986,"Egypt",8.361,0.047,7.219,1.095,"Africa","Northern Africa"
"EGY",1980,"Egypt",25.363,-1.55,10.203,16.71,"Africa","Northern Africa"
"EGY",2011,"Egypt",13.497,-0.27,43.409,-29.641,"Africa","Northern Africa"
"EGY",2017,"Egypt",30.022,-0.483,65.8,-35.295,"Africa","Northern Africa"
"EGY",1966,"Egypt",4.513,-1.5,0.067,5.946,"Africa","Northern Africa"
"EGY",2019,"Egypt",-15.867,-1.944,-6.493,-7.429,"Africa","Northern Africa"
"EGY",2016,"Egypt",50.945,4.977,33.353,12.614,"Africa","Northern Africa"
"EGY",1969,"Egypt",-18.67,0.407,0.144,-19.221,"Africa","Northern Africa"
"EGY",2015,"Egypt",21.211,5.02,-2,18.19,"Africa","Northern Africa"
"EGY",2018,"Egypt",17.904,11,36.605,-29.701,"Africa","Northern Africa"
"ESP",1985,"Spain",-20.982,-2.396,1.374,-19.96,"Europe","Southern Europe"
"ESP",1973,"Spain",73.99,-2.419,-0.404,76.813,"Europe","Southern Europe"
"ESP",1992,"Spain",76.891,4.71,2.969,69.212,"Europe","Southern Europe"
"ESP",1984,"Spain",-33.733,3.466,-4.949,-32.25,"Europe","Southern Europe"
"ESP",1979,"Spain",47.849,15.387,-0.556,33.018,"Europe","Southern Europe"
"ESP",2000,"Spain",48.238,15.503,22.439,10.297,"Europe","Southern Europe"
"ESP",2001,"Spain",29.424,-20.562,13.73,36.255,"Europe","Southern Europe"
"ESP",1996,"Spain",-3.836,-34.192,10.696,19.66,"Europe","Southern Europe"
"ESP",1994,"Spain",43.461,6.606,6.438,30.417,"Europe","Southern Europe"
"ESP",1997,"Spain",85.071,27.075,30.999,26.997,"Europe","Southern Europe"
"ESP",1974,"Spain",21.325,-3.617,2.828,22.114,"Europe","Southern Europe"
"ESP",2010,"Spain",-52.781,-29.459,-1.113,-22.21,"Europe","Southern Europe"
"ESP",1995,"Spain",58.075,0.523,16.575,40.976,"Europe","Southern Europe"
"ESP",1976,"Spain",65.401,-3.884,2.161,67.124,"Europe","Southern Europe"
"ESP",1982,"Spain",-11.335,19.306,2.111,-32.752,"Europe","Southern Europe"
"ESP",1990,"Spain",-12.04,-1.396,7.789,-18.434,"Europe","Southern Europe"
"ESP",1971,"Spain",36.926,0.57,3.232,33.124,"Europe","Southern Europe"
"ESP",1999,"Spain",71.397,24.563,19.538,27.296,"Europe","Southern Europe"
"ESP",1991,"Spain",28.506,9.153,7.316,12.038,"Europe","Southern Europe"
"ESP",1989,"Spain",79.798,42.45,11.049,26.299,"Europe","Southern Europe"
"ESP",1988,"Spain",-6.269,-27.819,8.767,12.783,"Europe","Southern Europe"
"ESP",1998,"Spain",53.263,-10.048,3.498,59.813,"Europe","Southern Europe"
"ESP",2002,"Spain",62.144,28.261,27.34,6.543,"Europe","Southern Europe"
"ESP",1968,"Spain",16.123,1.303,0,14.821,"Europe","Southern Europe"
"ESP",2009,"Spain",-148.317,-47.381,-42.845,-58.092,"Europe","Southern Europe"
"ESP",1977,"Spain",-23.807,8.513,-0.646,-31.673,"Europe","Southern Europe"
"ESP",1967,"Spain",43.345,1.698,0,41.647,"Europe","Southern Europe"
"ESP",1978,"Spain",-1.687,-18.015,0.394,15.934,"Europe","Southern Europe"
"ESP",2008,"Spain",-72.04,-75.979,36.349,-32.411,"Europe","Southern Europe"
"ESP",1993,"Spain",-54.383,-23.842,-1.3,-29.242,"Europe","Southern Europe"
"ESP",1975,"Spain",31.668,12.06,0.444,19.163,"Europe","Southern Europe"
"ESP",2003,"Spain",39.235,-17.084,30.253,26.067,"Europe","Southern Europe"
"ESP",2004,"Spain",81.052,10.7,44.404,25.949,"Europe","Southern Europe"
"ESP",2006,"Spain",-6.826,-30.296,16.154,7.316,"Europe","Southern Europe"
"ESP",2012,"Spain",-22.999,31.413,-4.205,-50.207,"Europe","Southern Europe"
"ESP",2007,"Spain",35.178,24.76,6.399,4.018,"Europe","Southern Europe"
"ESP",2005,"Spain",57.004,-6.234,54.329,8.909,"Europe","Southern Europe"
"ESP",1987,"Spain",21.142,-6.466,1.99,25.618,"Europe","Southern Europe"
"ESP",1981,"Spain",17.066,33.797,2.899,-19.629,"Europe","Southern Europe"
"ESP",1970,"Spain",46.507,6.094,-0.192,40.605,"Europe","Southern Europe"
"ESP",2013,"Spain",-121.587,-47.625,-28.975,-44.987,"Europe","Southern Europe"
"ESP",1980,"Spain",58.023,19.166,4.495,34.362,"Europe","Southern Europe"
"ESP",2011,"Spain",4.403,68.547,-25.504,-38.641,"Europe","Southern Europe"
"ESP",1966,"Spain",22.009,-8.443,0,30.452,"Europe","Southern Europe"
"ESP",1986,"Spain",7.103,7.583,4.262,-4.742,"Europe","Southern Europe"
"ESP",1972,"Spain",30.209,2.768,7.737,19.705,"Europe","Southern Europe"
"ESP",1983,"Spain",13.46,10.246,2.071,1.144,"Europe","Southern Europe"
"ESP",2015,"Spain",56.086,23.811,10.139,22.135,"Europe","Southern Europe"
"ESP",2018,"Spain",-15.623,-27.87,-2.419,14.667,"Europe","Southern Europe"
"ESP",2017,"Spain",63.541,34.34,25.896,3.305,"Europe","Southern Europe"
"ESP",2019,"Spain",-23.126,-70.191,46.418,0.646,"Europe","Southern Europe"
"ESP",2014,"Spain",-27.677,2.814,-28.042,-2.45,"Europe","Southern Europe"
"ESP",1969,"Spain",36.695,0.675,0.939,35.081,"Europe","Southern Europe"
"ESP",2016,"Spain",-6.858,-37.103,5.834,24.412,"Europe","Southern Europe"
"EST",1991,"Estonia",-11.766,-6.83,0.059,-4.995,"Europe","Northern Europe"
"EST",1992,"Estonia",-29.935,-7.313,-5.929,-16.694,"Europe","Northern Europe"
"EST",1994,"Estonia",0.64,0.386,1.804,-1.551,"Europe","Northern Europe"
"EST",1999,"Estonia",-4.781,-3.071,-0.183,-1.527,"Europe","Northern Europe"
"EST",2008,"Estonia",-3.272,-1.972,-0.39,-0.909,"Europe","Northern Europe"
"EST",1986,"Estonia",-0.57,0.821,-0.956,-0.435,"Europe","Northern Europe"
"EST",1995,"Estonia",-4.22,-0.959,0.834,-4.094,"Europe","Northern Europe"
"EST",1996,"Estonia",3.2,1.452,0.697,1.052,"Europe","Northern Europe"
"EST",1993,"Estonia",-16.28,-13.439,-4.209,1.368,"Europe","Northern Europe"
"EST",1997,"Estonia",-0.687,-0.361,-0.212,-0.114,"Europe","Northern Europe"
"EST",2009,"Estonia",-8.268,-3.607,-2.879,-1.781,"Europe","Northern Europe"
"EST",2007,"Estonia",8.135,7,-0.05,1.186,"Europe","Northern Europe"
"EST",2004,"Estonia",2.681,0.933,1.375,0.374,"Europe","Northern Europe"
"EST",2006,"Estonia",-1.035,-1.883,0.115,0.733,"Europe","Northern Europe"
"EST",1998,"Estonia",-3.963,-3.522,-0.369,-0.071,"Europe","Northern Europe"
"EST",2001,"Estonia",2.134,-0.453,0.568,2.018,"Europe","Northern Europe"
"EST",2011,"Estonia",1.855,3.031,-0.644,-0.532,"Europe","Northern Europe"
"EST",2005,"Estonia",-1.094,-1.551,0.284,0.173,"Europe","Northern Europe"
"EST",1989,"Estonia",3.592,2.316,0,1.276,"Europe","Northern Europe"
"EST",2014,"Estonia",-2.308,0.43,-1.381,-1.357,"Europe","Northern Europe"
"EST",2010,"Estonia",10.935,9.957,0.447,0.532,"Europe","Northern Europe"
"EST",1988,"Estonia",-2.033,-3.177,0.795,0.349,"Europe","Northern Europe"
"EST",1987,"Estonia",1.783,0.59,0.795,0.399,"Europe","Northern Europe"
"EST",2013,"Estonia",3.284,3.35,0.19,-0.257,"Europe","Northern Europe"
"EST",1990,"Estonia",-0.808,-3.272,3.095,-0.631,"Europe","Northern Europe"
"EST",2015,"Estonia",-5.26,-4.696,-0.549,-0.015,"Europe","Northern Europe"
"EST",2012,"Estonia",0.1,-3.121,0.239,2.981,"Europe","Northern Europe"
"EST",2016,"Estonia",0.476,0.458,0.436,-0.418,"Europe","Northern Europe"
"EST",2018,"Estonia",5.773,5.868,0.112,-0.206,"Europe","Northern Europe"
"EST",2019,"Estonia",-16.228,-16.236,-0.401,0.41,"Europe","Northern Europe"
"EST",2002,"Estonia",-0.383,-0.807,-1.344,1.769,"Europe","Northern Europe"
"EST",2017,"Estonia",5.094,4.609,-0.242,0.727,"Europe","Northern Europe"
"EST",2003,"Estonia",4.798,4.945,0.707,-0.854,"Europe","Northern Europe"
"EST",2000,"Estonia",1.218,1.757,1.003,-1.542,"Europe","Northern Europe"
"FIN",1992,"Finland",-6.369,-5.498,1.02,-1.891,"Europe","Northern Europe"
"FIN",1979,"Finland",6.956,-1.781,-0.034,8.771,"Europe","Northern Europe"
"FIN",1982,"Finland",-7.611,3.602,-0.395,-10.819,"Europe","Northern Europe"
"FIN",2004,"Finland",-20.67,-9.713,-1.72,-9.237,"Europe","Northern Europe"
"FIN",1997,"Finland",-6.417,-4.319,-0.551,-1.547,"Europe","Northern Europe"
"FIN",1985,"Finland",15.561,12.243,2.008,1.31,"Europe","Northern Europe"
"FIN",2000,"Finland",-2.166,-3.238,0.83,0.243,"Europe","Northern Europe"
"FIN",1988,"Finland",-0.45,0.073,1.148,-1.671,"Europe","Northern Europe"
"FIN",1993,"Finland",3.76,7.975,0.92,-5.135,"Europe","Northern Europe"
"FIN",2005,"Finland",-30.089,-30.711,-3.85,4.472,"Europe","Northern Europe"
"FIN",1994,"Finland",21.777,13.868,2.96,4.949,"Europe","Northern Europe"
"FIN",2002,"Finland",10.421,6.102,-0.3,4.619,"Europe","Northern Europe"
"FIN",2007,"Finland",-6.698,-4.801,-3.32,1.423,"Europe","Northern Europe"
"FIN",1973,"Finland",19.477,2.874,0,16.602,"Europe","Northern Europe"
"FIN",1984,"Finland",8.727,6.032,0.948,1.748,"Europe","Northern Europe"
"FIN",2009,"Finland",-11.868,0.446,-4.501,-7.814,"Europe","Northern Europe"
"FIN",1991,"Finland",-0.377,-0.076,1.36,-1.661,"Europe","Northern Europe"
"FIN",1971,"Finland",1.453,-2.988,0,4.441,"Europe","Northern Europe"
"FIN",2001,"Finland",13.033,12.162,3.35,-2.479,"Europe","Northern Europe"
"FIN",1999,"Finland",-0.851,-1.973,0.044,1.079,"Europe","Northern Europe"
"FIN",1977,"Finland",-2.579,0.301,0.147,-3.026,"Europe","Northern Europe"
"FIN",2010,"Finland",26.091,16.435,3.92,5.735,"Europe","Northern Europe"
"FIN",2003,"Finland",28.297,19.001,4.54,4.756,"Europe","Northern Europe"
"FIN",1995,"Finland",-19.42,-8.951,1.21,-11.679,"Europe","Northern Europe"
"FIN",1967,"Finland",3.195,-0.713,0,3.908,"Europe","Northern Europe"
"FIN",1981,"Finland",-29.132,-20.694,-1.828,-6.611,"Europe","Northern Europe"
"FIN",1998,"Finland",-2.967,-13.889,4.898,6.024,"Europe","Northern Europe"
"FIN",1974,"Finland",-15.118,0.553,4.444,-20.115,"Europe","Northern Europe"
"FIN",1976,"Finland",20.853,9.315,1.263,10.275,"Europe","Northern Europe"
"FIN",1978,"Finland",14.326,12.673,0.778,0.874,"Europe","Northern Europe"
"FIN",2008,"Finland",-21.439,-19.309,0.921,-3.05,"Europe","Northern Europe"
"FIN",1970,"Finland",14.485,0.429,0,14.056,"Europe","Northern Europe"
"FIN",1986,"Finland",3.067,-4.971,1.997,6.041,"Europe","Northern Europe"
"FIN",1968,"Finland",15.151,3.697,0,11.454,"Europe","Northern Europe"
"FIN",2012,"Finland",-20.905,-11.616,-4.175,-5.114,"Europe","Northern Europe"
"FIN",1966,"Finland",12.924,-1.455,0,14.379,"Europe","Northern Europe"
"FIN",1969,"Finland",20.045,4.349,0,15.696,"Europe","Northern Europe"
"FIN",1996,"Finland",19.246,13.142,1.509,4.595,"Europe","Northern Europe"
"FIN",1980,"Finland",-0.043,6.375,-0.564,-5.854,"Europe","Northern Europe"
"FIN",1972,"Finland",11.019,2.578,0,8.441,"Europe","Northern Europe"
"FIN",2006,"Finland",29.244,30.985,2.85,-4.591,"Europe","Northern Europe"
"FIN",1989,"Finland",3.593,-1.294,5.08,-0.193,"Europe","Northern Europe"
"FIN",2018,"Finland",3.451,2.214,2.674,-1.437,"Europe","Northern Europe"
"FIN",1990,"Finland",10.975,3.081,3.81,4.084,"Europe","Northern Europe"
"FIN",2013,"Finland",8.527,5.54,-2.238,5.225,"Europe","Northern Europe"
"FIN",1975,"Finland",4.773,-2.78,2.911,4.642,"Europe","Northern Europe"
"FIN",2016,"Finland",12.361,6.381,-2.826,8.806,"Europe","Northern Europe"
"FIN",2017,"Finland",-11.611,-4.258,-1.723,-5.629,"Europe","Northern Europe"
"FIN",1987,"Finland",9.515,6.372,3.7,-0.557,"Europe","Northern Europe"
"FIN",2019,"Finland",-14.279,-8.094,-0.795,-5.389,"Europe","Northern Europe"
"FIN",2014,"Finland",-15.88,-6.017,-3.15,-6.713,"Europe","Northern Europe"
"FIN",2011,"Finland",-26.324,-14.808,-5.18,-6.337,"Europe","Northern Europe"
"FIN",2015,"Finland",-11.73,-7.62,-3.678,-0.432,"Europe","Northern Europe"
"FIN",1983,"Finland",-6.643,3.154,-0.203,-9.594,"Europe","Northern Europe"
"FRA",1982,"France",-89.843,7.443,-9.945,-87.341,"Europe","Western Europe"
"FRA",2002,"France",-27.906,4.422,-0.741,-31.587,"Europe","Western Europe"
"FRA",1985,"France",-6.87,-8.606,18.8,-17.063,"Europe","Western Europe"
"FRA",2000,"France",-3.123,-4.688,19.752,-18.187,"Europe","Western Europe"
"FRA",2001,"France",5.733,-20.573,20.721,5.586,"Europe","Western Europe"
"FRA",1981,"France",-155.348,-32.069,3.997,-127.277,"Europe","Western Europe"
"FRA",2003,"France",32.635,9.369,21.326,1.94,"Europe","Western Europe"
"FRA",1997,"France",-30.201,-22.562,-15.677,8.039,"Europe","Western Europe"
"FRA",1994,"France",-54.334,-2.791,-15.365,-36.178,"Europe","Western Europe"
"FRA",1999,"France",3.9,-19.771,7.617,16.055,"Europe","Western Europe"
"FRA",2004,"France",11.997,-7.591,9.657,9.931,"Europe","Western Europe"
"FRA",1979,"France",45.5,29.314,23.597,-7.411,"Europe","Western Europe"
"FRA",2005,"France",0.423,5.796,10.201,-15.574,"Europe","Western Europe"
"FRA",1974,"France",-64.15,3.965,6.923,-75.038,"Europe","Western Europe"
"FRA",1973,"France",174.647,-3.571,23.149,155.069,"Europe","Western Europe"
"FRA",2008,"France",-13.519,-9,16.255,-20.774,"Europe","Western Europe"
"FRA",1967,"France",103.438,-5.772,7.543,101.667,"Europe","Western Europe"
"FRA",1970,"France",124.91,-20.432,11.679,133.663,"Europe","Western Europe"
"FRA",2007,"France",-35.995,5.091,-13.196,-27.89,"Europe","Western Europe"
"FRA",1968,"France",60.577,-16.882,11.817,65.642,"Europe","Western Europe"
"FRA",2006,"France",-31.358,-11.867,-16.32,-3.171,"Europe","Western Europe"
"FRA",1989,"France",39.932,18.492,-6.214,27.654,"Europe","Western Europe"
"FRA",1998,"France",94.247,30.122,24.126,40,"Europe","Western Europe"
"FRA",1971,"France",84.378,-33.736,17.696,100.418,"Europe","Western Europe"
"FRA",2010,"France",22.298,8.843,48.334,-34.878,"Europe","Western Europe"
"FRA",1995,"France",33.444,3.954,20.828,8.662,"Europe","Western Europe"
"FRA",1987,"France",-10.637,-21.05,3.401,7.012,"Europe","Western Europe"
"FRA",1996,"France",69.711,11.165,36.168,22.378,"Europe","Western Europe"
"FRA",1991,"France",106.686,14.189,28.913,63.584,"Europe","Western Europe"
"FRA",1993,"France",-71.644,-37.914,7.525,-41.254,"Europe","Western Europe"
"FRA",1992,"France",-30.236,-27.796,-0.676,-1.764,"Europe","Western Europe"
"FRA",1978,"France",85.088,14.159,13.694,57.234,"Europe","Western Europe"
"FRA",2015,"France",25.968,-2.945,28.434,0.479,"Europe","Western Europe"
"FRA",1990,"France",29.532,-6.048,19.606,15.974,"Europe","Western Europe"
"FRA",1986,"France",-27.149,-49.195,1.624,20.422,"Europe","Western Europe"
"FRA",2009,"France",-74.04,-15.381,-16.554,-42.105,"Europe","Western Europe"
"FRA",2013,"France",0.595,5.794,6.989,-12.187,"Europe","Western Europe"
"FRA",2016,"France",29.144,-2.625,37.782,-6.013,"Europe","Western Europe"
"FRA",1976,"France",171.181,50.689,13.583,106.909,"Europe","Western Europe"
"FRA",1972,"France",114.048,-40.823,20.662,134.209,"Europe","Western Europe"
"FRA",1975,"France",-144.767,-40.565,18.911,-123.113,"Europe","Western Europe"
"FRA",1980,"France",-98.022,-7.737,9.344,-99.628,"Europe","Western Europe"
"FRA",2012,"France",-2.675,15.094,14.253,-32.021,"Europe","Western Europe"
"FRA",1977,"France",-59.839,-12.506,8.632,-55.966,"Europe","Western Europe"
"FRA",2011,"France",-106.361,-20.264,-65.454,-20.642,"Europe","Western Europe"
"FRA",2018,"France",-33.55,-10.327,-20.536,-2.686,"Europe","Western Europe"
"FRA",2017,"France",18.5,12.933,2.358,3.21,"Europe","Western Europe"
"FRA",1988,"France",-12.712,-5.001,-1.455,-6.256,"Europe","Western Europe"
"FRA",1969,"France",144.372,0.442,11.694,132.236,"Europe","Western Europe"
"FRA",2019,"France",-20.725,-22.567,7.226,-5.384,"Europe","Western Europe"
"FRA",1984,"France",-46.451,-13.375,5.19,-38.266,"Europe","Western Europe"
"FRA",1966,"France",13.25,-35.321,2.75,45.822,"Europe","Western Europe"
"FRA",1983,"France",-42.293,-32.099,16.03,-26.225,"Europe","Western Europe"
"FRA",2014,"France",-136.777,-34.046,-72.348,-30.383,"Europe","Western Europe"
"GBR",1997,"United Kingdom",-60.618,-55.801,24.342,-29.158,"Europe","Northern Europe"
"GBR",1993,"United Kingdom",-4.493,-91.9,82.352,5.055,"Europe","Northern Europe"
"GBR",2002,"United Kingdom",-56.834,-37.237,-13.19,-6.407,"Europe","Northern Europe"
"GBR",1998,"United Kingdom",19.868,-11.485,35.223,-3.87,"Europe","Northern Europe"
"GBR",2008,"United Kingdom",-28.864,-32.244,25.32,-21.941,"Europe","Northern Europe"
"GBR",1979,"United Kingdom",113.084,61.976,41.031,10.077,"Europe","Northern Europe"
"GBR",2007,"United Kingdom",-50.914,-29.596,10.403,-31.721,"Europe","Northern Europe"
"GBR",2000,"United Kingdom",49.675,28.231,34.54,-13.096,"Europe","Northern Europe"
"GBR",2009,"United Kingdom",-179.71,-67.716,-66.088,-45.906,"Europe","Northern Europe"
"GBR",1985,"United Kingdom",78.839,181.463,38.053,-140.678,"Europe","Northern Europe"
"GBR",1973,"United Kingdom",128.928,72.06,22.178,34.69,"Europe","Northern Europe"
"GBR",2005,"United Kingdom",18.277,9.411,-26.013,34.879,"Europe","Northern Europe"
"GBR",2012,"United Kingdom",13.149,87.33,-50.198,-23.984,"Europe","Northern Europe"
"GBR",2004,"United Kingdom",30.084,-17.257,21.787,25.554,"Europe","Northern Europe"
"GBR",1968,"United Kingdom",78.384,0.919,17.747,59.717,"Europe","Northern Europe"
"GBR",1976,"United Kingdom",30.539,14.665,22.271,-6.397,"Europe","Northern Europe"
"GBR",2001,"United Kingdom",18.235,25.398,-4.885,-2.277,"Europe","Northern Europe"
"GBR",1989,"United Kingdom",-20.164,-29.401,-12.258,21.495,"Europe","Northern Europe"
"GBR",1980,"United Kingdom",-228.235,-62.628,-1.396,-164.212,"Europe","Northern Europe"
"GBR",1971,"United Kingdom",-48.113,-127.046,72.432,6.502,"Europe","Northern Europe"
"GBR",1974,"United Kingdom",-150.54,-112.323,57.417,-95.635,"Europe","Northern Europe"
"GBR",1987,"United Kingdom",8.502,19.317,14.91,-25.725,"Europe","Northern Europe"
"GBR",1982,"United Kingdom",-47.402,-55.359,-2.373,10.329,"Europe","Northern Europe"
"GBR",1994,"United Kingdom",-31.669,-41.077,19.98,-10.572,"Europe","Northern Europe"
"GBR",1988,"United Kingdom",7.366,-23.69,-26.877,57.934,"Europe","Northern Europe"
"GBR",1967,"United Kingdom",-9.001,-85.585,5.722,70.863,"Europe","Northern Europe"
"GBR",2013,"United Kingdom",-42.479,-23.085,-5.73,-13.664,"Europe","Northern Europe"
"GBR",2016,"United Kingdom",-27.824,-139.459,86.282,25.354,"Europe","Northern Europe"
"GBR",2006,"United Kingdom",-19.346,40.74,-51.263,-8.823,"Europe","Northern Europe"
"GBR",1996,"United Kingdom",110.466,-35.937,121.755,24.648,"Europe","Northern Europe"
"GBR",2010,"United Kingdom",75.037,13.203,72.691,-10.857,"Europe","Northern Europe"
"GBR",2003,"United Kingdom",37.732,27.84,2.75,7.141,"Europe","Northern Europe"
"GBR",1999,"United Kingdom",-4.007,-49.774,59.472,-13.705,"Europe","Northern Europe"
"GBR",1990,"United Kingdom",33.75,-0.686,21.713,12.723,"Europe","Northern Europe"
"GBR",1975,"United Kingdom",-134.937,4.943,16.747,-156.627,"Europe","Northern Europe"
"GBR",1991,"United Kingdom",40.646,1.279,44.031,-4.665,"Europe","Northern Europe"
"GBR",1992,"United Kingdom",-36.928,-45.206,-2.849,11.127,"Europe","Northern Europe"
"GBR",1978,"United Kingdom",21.835,-21.911,15.421,28.324,"Europe","Northern Europe"
"GBR",2011,"United Kingdom",-174.393,6.061,-165.743,-14.711,"Europe","Northern Europe"
"GBR",1966,"United Kingdom",-2.92,-65.907,-0.209,63.196,"Europe","Northern Europe"
"GBR",2015,"United Kingdom",-34.664,-77.69,19.9,23.126,"Europe","Northern Europe"
"GBR",1995,"United Kingdom",7.628,-26.493,45.834,-11.713,"Europe","Northern Europe"
"GBR",1970,"United Kingdom",57.361,-67.291,56.208,68.444,"Europe","Northern Europe"
"GBR",1972,"United Kingdom",31.656,-122.79,79.921,74.524,"Europe","Northern Europe"
"GBR",1984,"United Kingdom",-12.49,-223.947,11.386,200.071,"Europe","Northern Europe"
"GBR",1969,"United Kingdom",80.356,-30.703,30.215,80.844,"Europe","Northern Europe"
"GBR",2019,"United Kingdom",-38.184,-15.329,-4.153,-18.702,"Europe","Northern Europe"
"GBR",1986,"United Kingdom",69.642,58.487,9.025,2.13,"Europe","Northern Europe"
"GBR",2017,"United Kingdom",-39.338,-23.548,-20.862,5.072,"Europe","Northern Europe"
"GBR",2014,"United Kingdom",-147.637,-83.955,-62.703,-0.979,"Europe","Northern Europe"
"GBR",1981,"United Kingdom",-69.993,-4.489,6.35,-71.854,"Europe","Northern Europe"
"GBR",1983,"United Kingdom",-7.66,7.129,20.039,-34.828,"Europe","Northern Europe"
"GBR",1977,"United Kingdom",36.341,2.78,24.47,9.092,"Europe","Northern Europe"
"GBR",2018,"United Kingdom",-23.754,-17.17,6.695,-13.28,"Europe","Northern Europe"
"GRC",2000,"Greece",21.192,5.919,4.998,10.275,"Europe","Southern Europe"
"GRC",2010,"Greece",-25.729,-6.503,3.264,-22.49,"Europe","Southern Europe"
"GRC",2004,"Greece",0.68,2.631,2.335,-4.285,"Europe","Southern Europe"
"GRC",1979,"Greece",-29.855,-37.844,0,7.989,"Europe","Southern Europe"
"GRC",2001,"Greece",7.067,3.528,-0.257,3.796,"Europe","Southern Europe"
"GRC",1968,"Greece",4.604,3.024,0,1.58,"Europe","Southern Europe"
"GRC",2008,"Greece",-17.919,-6.047,1.659,-13.531,"Europe","Southern Europe"
"GRC",1998,"Greece",21.381,4.539,6.156,10.685,"Europe","Southern Europe"
